snapshot_time,history_id,alert_id,route_id,direction_id,title,description,alert_type,first_seen,last_seen,duration_hours,active_flag,inactive_detected_at,occurrence_index,observation_count,route_match_status
2026-09-26T00:08:32.560502+00:00,SF_15816|6|ALL|5,SF_15816,6,,"6, 43 STOP TEMP. MOVED Board at Parnassus/5th","6, 43 STOP TEMP. MOVED Board at Parnassus/5th",STOP_MOVED,2026-09-25T14:14:25.015260+00:00,2026-09-25T23:50:45.209663+00:00,9.606,False,2026-09-26T00:08:32.560502+00:00,5,27,MATCHED
2026-09-26T00:08:32.560502+00:00,SF_15878|19|ALL|4,SF_15878,19,,19 STOP TEMP. CLOSED Board at Connecticut/26th,19 STOP TEMP. CLOSED Board at Connecticut/26th,STOP_MOVED,2026-09-25T14:14:25.015260+00:00,2026-09-25T23:50:45.209663+00:00,9.606,False,2026-09-26T00:08:32.560502+00:00,4,27,MATCHED
2026-09-25T23:14:38.041531+00:00,SF_15879|12|ALL|3,SF_15879,12,,12 STOP TEMP. MOVED Board midblock at Pacific btwn Jones & Leavenworth,12 STOP TEMP. MOVED Board midblock at Pacific btwn Jones & Leavenworth,STOP_MOVED,2026-09-25T14:14:25.015260+00:00,2026-09-25T22:56:34.427833+00:00,8.703,False,2026-09-25T23:14:38.041531+00:00,3,24,MATCHED
2026-09-25T23:31:22.593854+00:00,SF_15667|12|ALL|8,SF_15667,12,,12 STOP TEMP. MOVED Board at Sansome/Commercial,12 STOP TEMP. MOVED Board at Sansome/Commercial,STOP_MOVED,2026-09-25T14:32:49.978686+00:00,2026-09-25T23:14:38.041531+00:00,8.697,False,2026-09-25T23:31:22.593854+00:00,8,24,MATCHED
2026-09-26T00:08:32.560502+00:00,SF_15661|43|ALL|6,SF_15661,43,,43 STOP TEMP. MOVED Board at Gennessee/Judson,43 STOP TEMP. MOVED Board at Gennessee/Judson,STOP_MOVED,2026-09-25T15:08:34.861081+00:00,2026-09-25T23:50:45.209663+00:00,8.703,False,2026-09-26T00:08:32.560502+00:00,6,24,MATCHED
2026-09-26T00:08:32.560502+00:00,SF_15740|35|ALL|6,SF_15740,35,,35 RRT STOP CLOSED Board: Along Douglass OR Eureka/21st,35 RRT STOP CLOSED Board: Along Douglass OR Eureka/21st,STOP_CLOSED,2026-09-25T15:08:34.861081+00:00,2026-09-25T23:50:45.209663+00:00,8.703,False,2026-09-26T00:08:32.560502+00:00,6,24,MATCHED
2026-09-25T23:14:38.041531+00:00,SF_15752|38R|ALL|6,SF_15752,38R,,"38, 38R STOP TEMP. MOVED Board at O'Farrell/Mason","38, 38R STOP TEMP. MOVED Board at O'Farrell/Mason",STOP_MOVED,2026-09-25T15:08:34.861081+00:00,2026-09-25T22:56:34.427833+00:00,7.8,False,2026-09-25T23:14:38.041531+00:00,6,21,MATCHED
2026-09-25T23:14:38.041531+00:00,SF_15752|38|ALL|6,SF_15752,38,,"38, 38R STOP TEMP. MOVED Board at O'Farrell/Mason","38, 38R STOP TEMP. MOVED Board at O'Farrell/Mason",STOP_MOVED,2026-09-25T15:08:34.861081+00:00,2026-09-25T22:56:34.427833+00:00,7.8,False,2026-09-25T23:14:38.041531+00:00,6,21,MATCHED
2026-09-25T23:14:38.041531+00:00,SF_15835|38R|ALL|4,SF_15835,38R,,"38, 38R STOP TEMP. MOVED Board at O'Farrell/Stockton","38, 38R STOP TEMP. MOVED Board at O'Farrell/Stockton",STOP_MOVED,2026-09-25T15:08:34.861081+00:00,2026-09-25T22:56:34.427833+00:00,7.8,False,2026-09-25T23:14:38.041531+00:00,4,21,MATCHED
2026-09-25T23:14:38.041531+00:00,SF_15835|38|ALL|4,SF_15835,38,,"38, 38R STOP TEMP. MOVED Board at O'Farrell/Stockton","38, 38R STOP TEMP. MOVED Board at O'Farrell/Stockton",STOP_MOVED,2026-09-25T15:08:34.861081+00:00,2026-09-25T22:56:34.427833+00:00,7.8,False,2026-09-25T23:14:38.041531+00:00,4,21,MATCHED
2026-09-25T23:14:38.041531+00:00,SF_15843|54|ALL|6,SF_15843,54,,54 STOP TEMP. MOVED Board at Revere btwn Ingalls & Jennings,54 STOP TEMP. MOVED Board at Revere btwn Ingalls & Jennings,STOP_MOVED,2026-09-25T15:08:34.861081+00:00,2026-09-25T22:56:34.427833+00:00,7.8,False,2026-09-25T23:14:38.041531+00:00,6,21,MATCHED
2026-09-25T23:14:38.041531+00:00,SF_15844|54|ALL|6,SF_15844,54,,54 STOP TEMP. MOVED Board midblock 3rd btwn Revere & Quesada,54 STOP TEMP. MOVED Board midblock 3rd btwn Revere & Quesada,STOP_MOVED,2026-09-25T15:08:34.861081+00:00,2026-09-25T22:56:34.427833+00:00,7.8,False,2026-09-25T23:14:38.041531+00:00,6,21,MATCHED
